"","DLF005-IE","DLM006-IE","DOM005-IE","DOM017-IE","MH0192","MH0221","MH0222","MH0234","MH0238","MH0245","MH0246","MH0252","MH0259","MH0260","MH0261","MH0262","MH0264","MH0265","MH0266","MH0268","MH0270","MH0271","MH0280","MH0281","MH0283","MH0284","MH0290","MH0293","MH0297","MH0298","MH0299","MH0301","MH0303","MH0308","MH0309","MH0310","MH0311","MH0314","MH0315","MH0319","MH0323","MH0325","MH0326","MH0327","MH0328","MH0329","MH0330","MH0332","MH0334","MH0335","MH0336","MH0337","MH0338","MH0339","MH0340","MH0341","MH0342","MH0343","MH0345","MH0346","MH0347","MH0348","MH0349","MH0350","MH0351","MH0354","MH0355","MH0356","MH0357","MH0358","MH0359","MH0360","MH0361","MH0362","MH0363","MH0364","MH0365","MH0366","MH0367","MH0368","MH0369","MH0370","MH0371","MH0372","MH0373","MH0374","MH0375","MH0376","MH0377","MH0378","MH0379","MH0381","MH0382","MH0383","MH0384","MH0385","MH0386","MH0387","MH0388","MH0389","MH0390","MH0391","MH0392","MH0393","MH0394","MH0395","MH0396","MH0397","MH0398","MH0399","MH0400","MH0401","MH0402","NLF002-IE","NLF009-IE","NLM009-IE","NLM025-IE","NOF002-IE","NOF007-IE","NOF013-IE","O2.CD1-0-PT","O2.CD1-0","O2.CD2-0-PT","O2.CD2-0","O2.CD3-0-PT","O2.UC1-1","O2.UC11-1","O2.UC12-1","O2.UC13-1","O2.UC14-1","O2.UC15-0","O2.UC15-1","O2.UC15-2","O2.UC16-1","O2.UC17-1","O2.UC18-1","O2.UC19-1","O2.UC2-1","O2.UC20-1","O2.UC21-1","O2.UC22-1","O2.UC23-1","O2.UC24-1","O2.UC26-1","O2.UC27-1","O2.UC28-0","O2.UC28-1","O2.UC28-2","O2.UC29-1","O2.UC3-1","O2.UC30-1","O2.UC31-1","O2.UC32-1","O2.UC35-1","O2.UC36-0","O2.UC36-1","O2.UC37-1","O2.UC38-1","O2.UC4-1","O2.UC40-1","O2.UC41-1","O2.UC43-1","O2.UC44-1","O2.UC46-1","O2.UC47-1","O2.UC48-1","O2.UC5-1","O2.UC6-0","O2.UC6-1","O2.UC6-2","O2.UC7-0","O2.UC7-1","O2.UC8-0","O2.UC8-1","O2.UC8-2","O2.UC9-1","V1.CD1-0-PN","V1.CD1-0-PT","V1.CD1-3-PN","V1.CD12-3","V1.CD2-0-PN","V1.CD2-0-PT","V1.CD20-0","V1.CD3-0-PN","V1.CD3-0-PT","V1.CD3-3-PN","V1.CD32-0","V1.CD32-4","V1.CD37-4","V1.CD4-0-PN","V1.CD4-0-PT","V1.CD40-0","V1.CD43-0","V1.CD44-0","V1.CD44-4","V1.CD45-0","V1.CD46-0","V1.CD48-0","V1.CD49-0","V1.CD5-0-PN","V1.CD50-0","V1.CD51-0","V1.CD52-0","V1.CD53-0","V1.CD54-0","V1.CD55-0","V1.CD6-0-PN","V1.CD6-0-PT","V1.CD7-0-PN","V1.CD8-0-PN","V1.FI01","V1.FI02","V1.FI03","V1.FI04","V1.FI05","V1.FI06","V1.FI07","V1.FI08","V1.FI09","V1.FI10","V1.FI11","V1.FI12","V1.FI13","V1.FI14","V1.FI15","V1.FI16","V1.FI17","V1.FI18","V1.FI19","V1.FI20","V1.FI21","V1.FI22","V1.FI23","V1.FI24","V1.FI25","V1.FI26","V1.FI27","V1.FI28","V1.FI29","V1.FI30","V1.FI31","V1.FI32","V1.FI33","V1.FI34","V1.FI35","V1.FI36","V1.FI37","V1.UC22-1","V1.UC38-4","V1.UC39-4","V1.UC40-1","V1.UC47-4","V1.UC54-4","V1.UC56-1","V1.UC58-4","V1.UC59-0","V1.UC59-4","V1.UC60-0","V1.UC63-0","V1.UC64-0","FeatureID"
"Phocaeicola coprophilus",587478,0,0,0,151265,0,0,0,149265,0,0,0,0,0,0,0,335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261982,0,0,0,0,0,0,0,0,0,0,0,0,0,622837,0,0,0,0,38679,141134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377027,0,1192492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93856,122809,0,1465854,0,0,0,0,0,0,408998,2073626,0,0,0,0,0,0,0,0,0,0,0,0,1473053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509638,0,0,0,0,0,0,206,1415448,0,0,271,0,0,0,0,0,831202,0,0,0,0,0,0,0,0,45276,0,35454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12430,4325266,0,"Phocaeicola coprophilus"
"Barnesiella intestinihominis",498991,0,0,0,1684795,0,75235,839219,1060299,286498,1074470,157616,581757,80952,0,747018,591703,571896,1492343,0,632885,1365589,2356192,315602,0,129335,158507,383519,2685624,15089,0,1339179,26172,1907324,0,1216659,863017,0,1863457,0,53220,444205,426892,0,107199,126404,76428,0,170375,526368,888564,1199976,105363,5005338,2559476,0,393427,2138426,48244,0,0,1492053,165436,801246,655405,107670,4488707,927415,0,4284895,0,0,909962,661788,1392400,3461262,299183,275213,1054144,1305120,1280911,0,2372911,1169454,1206552,52994,3379652,1178924,1182569,577514,1618215,2033249,1651962,34033,0,89535,1596901,874485,1623964,0,1589480,2045474,948007,811366,445559,1740470,1448102,1497881,550787,1026599,0,1457805,8970,0,0,0,0,0,0,0,12910,2995043,0,1337,0,1843224,1065113,9213,995071,128220,0,1051001,1706076,145477,252448,33860,0,0,656415,672478,1132271,970143,94077,0,1065674,959702,664912,291968,2333328,1331396,1176441,238499,1137259,2580355,1006869,2253397,0,1019505,354756,207383,64626,11848,266791,781281,1753961,2483175,1679162,0,0,0,0,0,133239,862365,965828,1320342,112151,1688298,178956,1513,0,0,1199664,897324,0,1861329,297725,48528,646698,3382649,0,112008,544287,0,0,517471,0,0,1815424,0,3590004,4480567,1061019,2185190,2598602,500167,105127,919265,0,85251,973870,774,1250801,2701578,888804,35879,0,2810811,3674,2165524,862395,1296209,789150,1470337,555706,1046674,1263550,0,1299999,0,557400,695963,0,148791,982320,978985,76056,1029393,90964,219251,271293,0,0,405171,0,191015,0,336263,293804,2948956,244885,385767,207911,0,676330,0,0,1822600,2947472,971614,"Barnesiella intestinihominis"
"[Ruminococcus] lactaris",481214,47278,0,48379,151234,0,631962,0,207336,62470,0,1913012,529761,49837,0,108356,187815,30247,135868,855431,0,205495,402031,362888,0,204652,0,186635,207300,813924,13149,0,318613,64286,806715,1756,0,206854,0,307704,0,0,0,0,0,224935,145714,0,787357,0,209906,0,0,1048788,0,0,0,0,968403,757967,6310,0,0,984440,0,0,885120,486368,0,0,145930,0,0,654880,189827,0,61620,3458,0,0,603070,0,493220,0,0,0,0,938977,584772,146212,499194,727781,15677,0,811,233059,1569166,0,0,0,1112303,0,840744,483849,0,665954,137673,0,295295,696914,0,557,133667,0,143705,0,134500,87603,0,188035,0,136309,0,0,0,0,0,0,0,0,0,2122188,704883,0,0,56231,0,143325,0,74870,0,18231,0,0,54236,703098,424818,709297,5617,0,58663,0,0,272778,506591,1048525,135480,994425,552896,230119,200948,0,98806,0,163523,1248293,80029,2673503,1671272,2702518,0,0,80,0,220096,65669,0,0,0,0,0,0,0,0,0,0,0,0,0,217030,0,0,505647,0,0,0,0,0,0,92712,0,0,354356,0,0,530380,0,564358,0,0,0,1242018,786,756907,0,479132,0,0,29859,0,14351,131950,0,0,0,668118,0,0,0,0,0,256142,0,31897,0,34243,0,0,0,0,70878,0,0,0,0,1527399,73374,4141,0,1457,123609,1260140,0,4596,1658463,0,0,1132460,361393,515385,"[Ruminococcus] lactaris"
"Anaerostipes hadrus",480340,251569,0,160475,64116,0,261822,83531,649208,142975,1370228,750394,222750,800299,85398,35707,11028,22028,89640,39914,554798,196749,39057,434819,22461,39583,227876,312229,174303,112204,248678,0,45832,80368,2393,206121,593584,115159,149159,10285,196752,674318,381764,121525,183040,748935,217412,206292,239162,1236566,315037,152632,300673,167094,130188,990176,421799,238808,1149571,221379,191082,475488,107238,147255,331579,1372564,1290415,1671765,20353,0,223972,293662,90970,248225,494948,305237,80759,99667,195978,39157,236463,123662,916011,797224,118570,51448,83282,498953,1049019,496765,65367,275587,1487507,35366,123967,204374,949466,378982,149420,464323,33624,354834,142720,408462,103632,473780,96535,495169,150777,377546,600770,139057,148228,1165078,40625,15737,10499,41821,481715,238268,1072606,656889,2164147,464118,1560020,47985,2918230,219388,3130557,463217,2767828,882557,177176,403191,290242,4173020,466838,632743,3907628,995100,333618,301573,44310,509113,699281,1282782,392769,1979838,745046,418039,454873,392734,2518910,892879,1632973,847704,5362209,1446028,398754,157183,3701454,976169,777975,6525866,833240,5396576,595311,486850,350405,495057,3878599,1312416,545569,2842033,4035907,948572,1775288,1751046,1749858,639,458,0,0,1090207,620543,0,18266545,11559839,275334,598682,249497,79606,764735,230120,27447,1125326,0,1151952,230283,6949940,182163,1305776,786229,292729,1635,2105095,2920217,1174631,1158,3340527,2644440,728456,818414,1302876,6167152,559685,901187,863780,68915,0,531353,1601599,504059,711527,198160,312619,1564410,1978108,1465071,823704,1291466,535121,391,76234,166461,2240405,196993,417337,946178,2648384,185610,440638,0,771889,1944458,193771,757238,1089543,4331361,577162,5735294,1189288,618320,21043,372011,4369598,12591,783895,2362611,914083,"Anaerostipes hadrus"
"Fusicatenibacter saccharivorans",399274,370189,0,7050,228686,43753,157618,267570,819428,472395,477560,56193,1672806,149309,60550,295193,87389,121082,261357,957796,698471,817312,2461404,1901739,79580,424387,444758,837485,448511,801924,91482,0,864599,141234,596099,1253935,260864,628999,1898271,63603,617495,609278,920220,361067,875150,1093044,131078,272752,179705,0,584136,862397,843205,448840,437296,343388,0,542642,498408,1155517,367145,0,773316,1559872,700260,99451,491470,2589638,288359,267830,533501,1867493,0,314885,393858,495926,196517,194050,2149182,251027,1155843,0,1235387,181963,560156,255728,324425,525442,344814,2668815,404966,1294018,589382,241003,242818,647294,2150174,431439,781448,247824,1566844,340687,690029,281380,727957,1311617,2107475,668466,767661,3422816,360621,164843,1187478,124480,59947,58340,40386,338507,527463,66269,1278160,227464,0,0,0,86145,0,342446,773897,264198,0,185798,422404,180814,222517,157241,0,811685,0,889073,2215117,145497,530255,0,1370763,4534472,1028715,5886469,332302,549792,693146,270329,1928531,192814,32888,208488,1944044,234695,1749939,1095444,1774928,60925,1286442,1024840,66958,1971606,273220,0,0,0,2548182,468658,819,0,1823086,836768,1169300,0,1317319,0,0,68549,0,0,0,0,641490,254222,0,148133,0,209358,495331,34231,0,456978,2211269,651893,258341,869306,663905,2696348,2394855,3171,224,1342978,2262068,758048,0,2329203,1190625,499591,225915,344656,159586,1027050,1241574,426131,534297,2559980,321627,47766,512469,286259,728811,826604,410040,2253,1799108,1141449,74,656150,0,192927,1567835,3973291,650840,1980254,873260,3488052,1091856,655858,0,4394,170868,683052,1699205,2161263,1851,2955,1484868,1960744,301414,0,114299,337134,0,473219,1328239,382381,"Fusicatenibacter saccharivorans"
"Lachnospira eligens",282992,6004250,377623,38902,0,0,0,6851786,2672904,1374829,0,1079381,2356443,3873325,507403,207432,41803,1125449,1702,0,887010,0,1838677,0,406539,81940,420099,1254412,259145,2707840,49856,0,306986,1479030,395436,659613,2032791,1465393,0,89766,663792,850,2210804,232513,633442,0,65749,0,522084,0,1362671,0,95923,1579348,239312,1187272,0,2220620,5767926,104402,176242,0,3190143,70794,2404245,0,2477467,38758,186633,0,687514,1715447,0,3383019,1776234,1132180,858772,38635,1010683,284454,1646905,0,4399225,0,350044,280912,2111825,630370,436961,375590,0,1267154,497466,1241154,418754,114853,2034418,478730,74277,0,1114946,3038026,2716193,3176731,0,2564174,906108,6376028,590715,792675,2562733,1308025,844719,0,357164,8856,61758,707042,0,0,195500,2684260,0,4526,0,110355,4577232,189920,73897,615638,0,0,0,1064676,1568,1122384,0,436492,4818398,741024,2813250,460907,1337107,0,8929394,456698,68345,341406,1624901,362039,1199501,326803,5465175,205223,6266197,1558502,9577301,2058533,1273786,1177613,2448481,606696,420130,1058152,1108232,7207414,96236,3415466,1710860,5133010,938101,4186442,3358949,8114157,2265022,2121362,1541088,7819633,634546,1228,0,0,0,0,660,0,0,0,0,1498150,0,173695,2684798,0,179,110935,778,442772,0,231961,109242,2631120,4011964,84,12518,4586047,2782549,1957868,0,653027,1429932,0,0,464858,0,70365,254079,0,279839,0,55176,580787,0,100491,427729,473802,43819,0,218294,134073,0,819086,0,656236,66771,65614,0,4148486,625350,653142,984616,462680,0,0,0,499642,850849,1255293,1014612,415737,464291,835859,3750765,11157,1550717,660763,0,426068,881779,1708340,"Lachnospira eligens"
"Bacteroides stercoris",236550,373959,0,0,0,0,0,0,0,2050324,0,0,0,232405,0,0,132014,0,7585033,1869,0,0,0,0,50423,237190,0,0,0,119171,0,0,0,1744467,0,0,1460,0,0,0,270721,3407205,0,0,0,1450,997183,0,0,0,0,0,1301,0,782321,1389,12060035,0,5318,0,0,0,953840,878125,0,0,0,1249970,0,0,0,0,537,235014,5432360,12839102,224844,0,0,0,0,10688190,1988608,168495,0,0,0,0,452723,0,0,6369433,0,209862,0,0,0,0,0,378458,453200,0,669655,10079791,75419,680399,0,0,2469894,235435,0,0,1967,0,395635,53525,92146,0,6968606,0,1209,4752,9894622,3209,0,0,0,0,808358,632159,6026505,0,2587,146908,345929,2330192,0,0,655,0,2511,2418403,2846,22859925,1462,1961626,5719068,756867,782328,107928,3010625,2852,718943,7236237,6719543,7829173,0,203303,0,29991,2688515,0,170539,976410,265748,0,8271173,0,0,0,480,0,1418300,1023105,0,0,348959,3496722,1858150,0,0,0,0,0,4957,0,4249710,4618999,0,0,0,215765,181737,168778,409866,565370,0,0,3192175,0,703011,5431,2133607,3171,16906,5182470,517219,0,0,352682,2069904,159444,0,0,6715,1152084,0,1689600,944,0,7415769,518874,7990928,20751,230988,2461187,331637,0,0,0,2902,0,0,119014,34806,16367311,7477,1452630,6772,3071674,186556,983225,3624682,5192856,7366737,685411,4744772,463926,2463482,479860,3110,4599408,2990154,5181,24461,12969274,0,0,1784,1445,"Bacteroides stercoris"
"Bacteroides ovatus",225313,1119603,46841,1441367,50892,0,26769,673704,16978,36365,8818927,110400,1800061,0,0,340929,6810,14095,530,8170,57216,2013031,983409,0,30555,29371,216330,22830,0,189065,166244,12325,51395,154846,0,0,68987,0,636405,32249,0,24343,73116,1423931,14754,129352,103676,1952533,85354,751639,29669,38547,27224,39759,589946,2862032,2711871,723191,24397,3061005,361678,236887,195188,1176,0,40142,59120,1315304,7357,446564,0,696475,0,488756,93777,436472,148262,30251,393877,1012828,220668,219087,0,83546,21019,669,6926,1069801,345884,12010,478842,409689,371645,10056,204746,160424,32445,958710,6624,385391,3228,38232,896369,2052825,0,188302,0,0,0,1344749,0,243614,335084,7528,65155,17920,21871,7344,51077,778968,571150,208440,3807377,5231,0,5098,49897,85768,235718,194753,0,63286,234250,159140,356391,375960,6437067,140432,200031,3430833,556778,25154,52306,1182472,84072,108423,172448,42986,1227829,1495905,218927,650363,158235,123890,208831,588174,0,342856,2385105,37195,484772,110804,508514,199846,3765,243458,778446,0,0,0,597162,253145,606494,678826,206354,252819,0,511332,0,6012709,231837,1116810,1314691,3180956,1054,9773247,152102,26802,3682615,1099366,195,49175,102880,622833,44586,55126,0,0,139651,0,97145,718182,444721,3111508,3450,1333291,86324,86610,0,132175,839023,2044268,219456,469316,130331,42089,55557,178898,22131,10831610,1679980,107849,1710876,12966,56318,814051,262019,934760,86249,1542138,5935,2233955,2736,1223074,578157,464839,84848,0,263413,3451494,32638,382826,1653339,1219958,2150259,86546,0,197896,1919391,1342911,188334,145731,109031,0,143280,0,0,188760,48233,16285,"Bacteroides ovatus"
"Alistipes inops",181411,0,0,0,0,458530,486,56397,0,56992,0,52175,0,0,0,0,0,0,0,0,0,0,472405,547216,0,0,226629,264,433736,117073,0,0,98084,57875,0,523669,0,1962880,8185,0,0,0,0,0,0,47165,0,0,240528,0,0,0,0,0,0,0,0,55565,17683,0,0,0,9799,0,0,0,0,404040,0,0,0,669043,0,183832,308849,1518245,214962,0,0,536409,0,2064134,0,0,1351062,0,0,180083,141982,48793,289377,165606,0,0,0,8403,435369,0,0,0,18709,146932,136811,0,0,0,0,3308743,0,0,0,198088,0,0,0,0,0,0,0,3662,0,0,0,0,0,0,0,2913,27707,9414,0,0,0,0,0,69249,0,0,4869602,59371,0,0,1241,0,3303793,267633,261109,90756,174003,0,283923,622965,0,1111,0,0,1495344,0,962629,90404,0,0,20798,0,243308,0,0,0,0,0,1065836,4217289,0,0,96966,397200,51254,0,55605,0,0,0,0,0,0,0,0,0,0,3552139,0,83256,0,0,0,0,0,0,0,0,0,3047344,391437,0,228387,240658,0,0,0,2202,0,0,0,0,0,0,0,0,0,0,9297,111937,0,92098,244536,0,11562,0,0,523446,0,0,0,0,133549,342122,0,137125,0,0,0,0,0,0,0,0,0,162497,0,0,153048,0,0,0,0,0,0,0,24856,405680,"Alistipes inops"
"Ruminococcus bromii",176591,354657,0,1709325,0,0,0,1214819,0,322334,0,0,3165699,0,283305,16660,651715,1732549,1562965,1925575,1750531,0,1111811,4526449,15317,1007642,4380326,3721440,970922,0,267750,124,600996,2087888,2335593,1589067,0,2835476,1771391,116564,4069858,1677011,3029462,2558371,2932090,1889130,3602666,0,4996213,432587,40255,0,91031,5610558,1664965,0,1994549,2570061,94340,0,1849417,0,0,6105013,0,819,5528737,7639075,2359480,0,1108091,11392613,2388153,1240434,2753820,3459455,791573,3625382,0,0,10747129,0,2536822,3932363,0,2167563,2521543,0,3454653,0,1291527,1883313,11699842,838522,430224,0,0,0,1366,1633209,0,7057296,3893802,0,0,0,5571492,0,132111,721925,4208021,5311050,1825017,0,0,1159554,645884,2160359,904,0,0,3678817,0,0,2913743,192445,0,3623,3909919,0,0,0,0,0,0,1916818,0,3072431,3314,4053197,563519,0,2756222,0,482,0,0,0,513196,2792422,0,1463565,0,1811509,3443,0,0,283440,717061,6498,10016,0,1459178,3022,3912821,837351,0,0,0,0,5371170,2221153,0,0,0,0,3517340,1343548,2524707,1101,0,0,0,0,1112,954,0,0,0,4512542,0,389402,0,3947,1103,4587433,1113590,7239811,3863798,5446,1341107,5328,2644920,98,10075,2277002,811337,1113333,2811,15445897,1444,5336411,930253,135,7771,4279107,3785268,1645,356288,0,1993956,0,3105332,673669,2586823,6396152,3826481,20242,4884060,4489313,2275,932580,2092570,669467,4287899,1726893,1056960,4464865,3937741,390638,176613,3255583,0,0,0,0,3000793,10682054,18383,0,1544451,494613,0,0,2199896,1110,64458,0,0,0,"Ruminococcus bromii"
"Oscillibacter sp. 57_20",172502,113651,0,0,306768,0,804441,154479,154963,124581,0,796461,117392,232236,71616,496052,101133,118052,835547,1351036,874734,318180,665784,0,102166,368961,133079,14923,266928,1197378,48948,0,482637,158293,57382,124850,0,470780,94585,472719,311488,203876,625687,460,635567,921569,303114,434086,0,0,129302,0,836036,590322,452440,0,31234,0,86975,622562,0,0,486345,460892,0,84208,1187060,0,672791,0,0,0,933689,0,125130,210976,167679,726391,552304,553258,396603,0,198347,83635,0,360364,709468,0,0,453737,590156,1325638,0,252638,265545,520356,243322,161305,58459,393496,1941809,74373,1025863,0,613486,563597,246596,1010780,472794,1600511,699983,194038,1312053,51614,98784,0,59290,0,0,74693,0,920389,0,175096,0,45794,0,1707184,470455,205591,0,243307,250292,1200212,21540,339522,0,223360,93972,41767,0,238912,585,0,0,1270812,1047790,954743,49459,294396,0,664048,0,203302,0,0,115661,0,0,283752,399274,365529,896232,0,379904,0,0,0,0,0,0,0,0,0,159108,317529,45875,0,152964,0,0,0,0,0,1761,0,0,0,0,343137,0,110445,81364,0,0,192380,533422,0,371867,0,1663566,361787,380270,0,0,489190,140299,1299689,0,73264,534685,157394,0,91175,0,577564,268517,1278761,4438772,1747,225582,2124160,0,824291,152152,1025565,560699,0,0,0,0,0,0,91908,297577,341711,140018,18279,2846,1541512,393755,343918,0,0,763,2594235,0,28810,0,0,0,341475,0,0,600298,674063,0,3701,549326,268213,"Oscillibacter sp. 57_20"
"Bifidobacterium pseudocatenulatum",165926,45863,0,0,2097,0,0,0,0,0,83478,0,0,0,0,0,0,0,0,0,0,443537,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,228115,0,0,0,0,19009,0,667164,0,0,0,0,0,0,3904,270970,0,0,6344,0,0,0,0,0,323534,0,0,0,0,0,269545,2111844,0,0,0,0,220786,0,111429,48194,0,0,5713,0,0,0,0,0,0,0,101308,238491,0,0,0,0,0,0,0,0,0,0,513,0,392189,61091,0,0,0,0,0,0,0,0,0,235,0,14088,0,51659,56520,0,149450,0,0,0,0,0,0,0,370239,0,0,15560,0,0,0,0,0,10826,1885276,3978,0,116699,18714,0,0,190824,0,115521,43204,279264,169747,104912,0,235060,0,1003319,251142,345196,0,0,0,0,0,0,0,0,0,0,0,1658273,4041186,3637618,0,0,94073,54250,0,0,543712,0,1065444,1533,0,2375926,0,0,7992,0,0,0,18970,0,4850,0,17399,0,0,2225,0,503,1474276,0,0,775563,0,0,21389,622059,283826,0,1012,9042895,4455322,21464,55032,2781006,8346,77227,0,0,0,0,200923,45116,370158,0,40984,0,179549,454,1491254,511063,3985,0,0,0,103835,0,0,0,1683081,64169,0,1501251,0,262,27881,0,237198,294740,0,4577,0,0,0,0,39933,0,0,527337,0,0,"Bifidobacterium pseudocatenulatum"
"Dorea longicatena",158445,32025,0,12819,223855,0,348748,93655,690162,269700,139292,1187843,564779,107051,40524,190982,100501,193785,143925,198371,436441,97677,282766,589713,85206,194939,276407,157895,0,322801,171880,0,1690434,193360,56027,159984,317498,237369,197528,245340,405104,433954,335097,765061,65952,352376,600439,268981,734337,582924,6457,0,384903,514538,277819,448038,471992,0,300401,837193,210709,122610,142659,739076,0,477573,470212,307299,165893,0,331328,141148,215647,168551,164999,138882,118008,79042,638830,241628,0,0,577280,266974,0,301332,0,0,53013,176502,166360,120942,674442,130407,112827,201655,248642,376233,247270,371954,246958,107896,367437,252137,43675,280720,590708,245389,389139,330026,226626,187693,171265,0,30469,48048,103751,148617,0,135506,334208,917590,0,24275,0,488513,2205,1931509,680590,380048,0,3890246,1734153,226100,709930,386648,0,191319,2210915,1279282,255975,218124,932721,78827,424893,457914,83565,996881,450738,247988,888358,202909,1933506,427968,722831,150340,400311,159406,843877,1265574,525794,466296,466492,2801068,109622,493944,333589,1141577,651637,970701,1138136,345662,447184,427801,379242,1175145,715053,0,1249165,991355,807784,0,0,38426,0,191997,2852799,1277978,275994,46365,0,1711256,805096,974534,673399,1902374,443670,2543669,715923,1322756,985451,495779,463207,0,1110,1162013,2059880,788120,0,2282286,658357,298603,445387,702235,440,550713,837114,325825,999370,0,115967,517636,82726,2062203,397397,669876,1009149,825190,1087325,936485,0,0,0,165700,832690,653713,410543,1777350,1415864,1022652,481321,1372326,3161230,2278386,668664,1220241,2458406,2197973,435391,263693,1231979,900217,445741,30591,1050722,839529,0,1405219,1979648,343699,"Dorea longicatena"
"Paraprevotella xylaniphila",154780,592123,0,0,2904060,0,280990,0,0,0,309205,575166,0,978372,0,0,335397,0,0,0,0,0,0,0,461567,366047,0,594677,1029385,0,0,379665,153404,0,188336,1725557,0,0,0,401693,1259446,0,518173,0,107949,519365,223088,0,0,0,0,904286,509312,702663,0,0,0,0,0,0,0,499414,0,502299,0,323465,509724,0,223264,0,0,0,3129507,0,508735,0,338725,0,541311,418358,1878996,0,1514921,6505,0,326091,7027857,0,0,601502,0,0,17285,237538,2032801,167037,0,747697,0,905907,828550,705747,613154,380155,55591,0,0,0,747369,355242,425005,680554,92488,0,0,0,16856,0,0,0,0,332689,0,0,0,199132,0,564296,111572,121945,0,0,0,1092800,180197,0,0,0,0,0,0,91872,41393,330685,279251,610884,728329,215681,299380,252841,435596,0,224205,279245,231824,242423,0,0,0,74840,424754,122336,1199165,1008468,2911,0,0,307288,327902,219010,0,0,308753,237290,0,0,385828,0,1169877,0,1436100,271960,0,2456,0,0,571331,624082,456947,713411,0,456224,648476,12380,208559,74732,0,0,552876,0,95923,0,469455,0,0,0,339712,1051923,0,978476,283643,0,0,0,0,497059,117024,0,11665,0,259198,2319898,0,246338,96992,1347733,91655,0,698438,0,0,0,0,214076,0,0,568354,0,609479,145610,1386690,167187,0,405730,442889,310226,76688,0,0,0,0,0,245434,0,110493,0,0,0,0,0,"Paraprevotella xylaniphila"
"Dialister sp. CAG:357",154065,0,0,0,0,0,0,2668851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6683,955352,1448175,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5661,0,0,6953,0,0,0,0,0,40666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360060,0,0,0,0,0,0,0,0,0,930,25975,0,203907,2334620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3033988,0,1179621,0,0,3318971,0,5739,0,0,0,0,0,0,0,0,"Dialister sp. CAG:357"
"Phocaeicola dorei",152221,5378628,823,4009088,2604071,0,629020,0,536027,2993500,2419823,0,0,322509,2882195,890954,167999,0,11966128,5947,1180892,0,353535,6479521,228501,18173,1165405,1127622,7279316,4928563,0,0,1466715,3480361,2562754,0,531239,0,9014248,911074,366062,2982354,3994089,6972459,2319757,95523,573371,2820,1186777,0,4436431,338783,2051847,8434973,7874678,0,741397,8025524,8559,0,0,4096204,3401243,0,881,0,4687673,1990725,294299,3718999,0,0,15278713,3953103,2638255,7701040,3620768,40903,4047682,3748482,13605763,0,0,74056,3579227,0,6851203,0,6876040,9386231,8591571,451978,4415156,7424,2445173,1181079,2969,0,3995886,3734426,0,1937439,0,16854026,147335,954156,9135856,6057388,936103,5304383,215706,14514,3301578,2447583,2127242,3067,6510,168,0,2669577,183738,1078370,21550546,426981,13329167,3842040,567764,32437,2045302,2011269,5542743,287296,394087,73016,37767,2764095,12047249,117582,2560104,2051780,4424410,0,102395,0,12397025,1978943,2327676,934132,1127807,53708,120177,487272,109810,7448572,183884,1319045,0,452062,16790390,453948,165863,346363,1029,4145147,237178,0,828,30540,982986,241849,4510586,8014369,4238443,3438744,3099656,9137904,9114034,14010216,131790,40242148,6408326,729416,9105,13115,16945,22010107,1222080,756170,1663078,11473187,3422,770242,254997,715895,80754,1269387,19608744,0,875413,851480,5101403,890254,1078803,0,4708200,516720,3933,50583,0,1780354,224961,10132,10772601,449617,60546,6524,1999265,1837596,95912,0,15591,155580,0,91768,148612,0,591142,11041,5446461,2373932,19025,17233608,4871,85024,604369,1887878,1082270,217893,14047796,218815,46634,5072792,7095234,1999587,319022,47728,2592018,7825,0,5984008,2574,4394186,2300894,0,3973364,5598654,19161,1544173,105581,1017477,"Phocaeicola dorei"
