"","CON-001","CON-002","CON-003","CON-004","CON-005","CON-006","CON-007","CON-008","CON-009","CON-010","CON-011","CON-012","CON-013","CON-014","CON-015","CON-016","CON-017","CON-018","CON-019","CON-020","CON-021","CON-022","CON-023","CON-024","CON-025","CON-026","CON-027","CON-028","CON-029","CON-030","CON-031","CON-032","CON-033","CON-034","CON-035","CON-036","CON-037","CON-038","CON-039","CON-040","CON-041","CON-042","CON-043","CON-044","CON-045","CON-046","CON-047","CON-048","CON-049","CON-050","CON-051","CON-052","CON-053","CON-054","CON-055","CON-056","CON-057","CON-058","CON-059","CON-060","CON-061","CON-062","CON-063","CON-064","CON-065","CON-066","CON-067","CON-068","CON-069","CON-070","CON-071","CON-072","CON-073","CON-074","CON-075","CON-076","CON-077","CON-078","CON-079","CON-080","CON-081","CON-082","CON-083","CON-084","CON-085","CON-086","CON-087","CON-088","CON-089","CON-090","CON-091","CON-092","CON-093","CON-094","CON-095","CON-096","CON-097","CON-098","CON-099","CON-100","CON-101","CON-102","CON-103","CON-104","CON-105","CON-106","CON-107","CON-108","CON-109","CON-110","CON-111","DLF001","DLF002","DLF003","DLF004","DLF005","DLF006","DLF007","DLF008","DLF009","DLF010","DLF012","DLF013","DLF014","DLM001","DLM002","DLM003","DLM004","DLM005","DLM006","DLM007","DLM008","DLM009","DLM010","DLM011","DLM012","DLM013","DLM014","DLM015","DLM016","DLM017","DLM018","DLM019","DLM020","DLM021","DLM022","DLM023","DLM024","DLM027","DLM028","DOF002","DOF003","DOF004","DOF006","DOF007","DOF008","DOF009","DOF010","DOF011","DOF012","DOF013","DOF014","DOM001","DOM003","DOM005","DOM008","DOM010","DOM012","DOM013","DOM014","DOM015","DOM016","DOM017","DOM018","DOM019","DOM020","DOM021","DOM022","DOM023","DOM024","DOM025","DOM026","NLF001","NLF002","NLF005","NLF006","NLF007","NLF008","NLF009","NLF010","NLF011","NLF012","NLF013","NLF014","NLF015","NLM001","NLM002","NLM003","NLM004","NLM005","NLM006","NLM007","NLM008","NLM009","NLM010","NLM015","NLM016","NLM017","NLM021","NLM022","NLM023","NLM024","NLM025","NLM026","NLM027","NLM028","NLM029","NLM031","NLM032","NOF001","NOF002","NOF004","NOF005","NOF006","NOF007","NOF008","NOF009","NOF010","NOF011","NOF012","NOF013","NOF014","NOM001","NOM002","NOM004","NOM005","NOM007","NOM008","NOM009","NOM010","NOM012","NOM013","NOM014","NOM015","NOM016","NOM017","NOM018","NOM019","NOM020","NOM022","NOM023","NOM025","NOM026","NOM027","NOM028","NOM029","T2D-001","T2D-002","T2D-003","T2D-004","T2D-005","T2D-006","T2D-007","T2D-008","T2D-009","T2D-010","T2D-011","T2D-012","T2D-013","T2D-014","T2D-015","T2D-016","T2D-017","T2D-018","T2D-019","T2D-020","T2D-021","T2D-022","T2D-023","T2D-024","T2D-025","T2D-026","T2D-027","T2D-028","T2D-029","T2D-030","T2D-031","T2D-032","T2D-033","T2D-034","T2D-035","T2D-036","T2D-037","T2D-038","T2D-039","T2D-040","T2D-041","T2D-042","T2D-043","T2D-044","T2D-045","T2D-046","T2D-047","T2D-048","T2D-049","T2D-050","T2D-051","T2D-052","T2D-053","T2D-054","T2D-055","T2D-056","T2D-057","T2D-058","T2D-059","T2D-060","T2D-061","T2D-062","T2D-063","T2D-064","T2D-065","T2D-066","T2D-067","T2D-068","T2D-069","T2D-070","T2D-071","T2D-072","T2D-073","T2D-074","T2D-075","T2D-076","T2D-077","T2D-078","T2D-079","T2D-080","T2D-081","T2D-082","T2D-083","T2D-084","T2D-085","T2D-086","T2D-087","T2D-088","T2D-089","T2D-090","T2D-091","T2D-092","T2D-093","T2D-094","T2D-095","T2D-096","T2D-097","T2D-098","T2D-099","T2D-100","T2D-101","T2D-102","T2D-103","T2D-104","T2D-105","T2D-106","T2D-107","FeatureID"
"Bacteroides stercoris",1333087,2386225,0,5866607,54226,2012,194,1640,696562,0,17406,1215216,84351,294611,0,464,74933,9305773,0,166990,944977,3018402,500,113569,277344,5100709,11772,130688,0,150597,151929,0,2364684,1731596,89118,6833458,44468,571446,341,322063,2482,5185959,3939660,1721704,668543,2965,781932,12348694,0,0,0,1258752,2400171,6890480,7156261,768180,6700885,190,1173383,1136,27344,157,279853,0,437718,82182,78335,0,586482,228938,572662,265678,726686,0,3596907,2799025,4764820,4739643,114469,0,1428372,393963,4873410,3296907,4833581,17761038,1083,1405,0,0,500677,6082662,643567,5338781,4439790,48326,6633524,2361,495741,0,209515,5068575,2610178,172559,105543,0,107895,1964,1876,0,372155,6719,620,132963,2550618,334927,297490,182,474,126678,491016,0,3282958,0,1710795,382746,6032292,4225096,521795,249271,5680323,2907948,9446,2246642,6067899,0,4096492,2310837,4186739,3733471,674600,286142,5150,3906758,8414026,47676,5320697,994,138,21000,11042,7355,6805221,19096,5047,0,775050,744787,3697938,0,205,5792492,362756,37344,907,6286761,3799385,57115,7902630,832523,2481995,3742822,39233,11430152,2770889,73035,12803581,2906526,896033,4724122,5645942,0,4278,1145,3453392,1146879,6184,3103769,867671,3678945,2272067,3535271,2003605,5423141,0,733892,639070,0,0,936374,1150846,6630596,159379,89618,0,919,143663,0,624116,1752,0,130537,303709,1052791,55146,1246015,0,1205740,1058524,254758,1266,30849,0,5635911,10220876,3501910,8097303,1795261,2948,1419148,4380,6507140,76462,0,4221,1943,3609583,6864823,136685,1454387,1017197,211664,10078972,0,0,28369,2550312,352853,598277,10202145,0,0,796293,7419,953258,48936,3683495,2166044,1738,3854852,3151096,651383,476846,2048034,1103,2520870,2742263,391313,1346347,1530,2333676,18521,539448,4560951,16482028,2030,947,2184,5747201,9231,2485008,2163,4175896,1292007,1981,6952304,1583,9042722,620898,151485,12263870,0,6035936,5026053,0,1080,3504205,0,616067,31592091,1925181,0,2661390,0,41902,356462,4846901,55220,3259887,428470,1580006,0,3396,7170175,11910279,225,306002,3106,10162,4713785,4259312,0,1615,0,41245,3807,2906,165636,55752,0,230876,1009938,676980,0,5680647,4544152,11931,120608,5433583,1299762,21227,26343,2369823,13554360,21207360,2259,4578247,2321450,10872212,4821,408127,2401,358428,6178206,238718,7562,93678,2286866,0,2015,110871,11887478,3022,"Bacteroides stercoris"
"Oscillibacter sp. 57_20",1210120,136858,348571,0,267975,0,0,0,0,20971,35458,17365,0,118220,13868,0,0,0,0,102988,270644,223577,0,239250,336916,351375,12614,148579,0,61499,344,134237,239934,387417,3835,290171,104163,14693,0,360,224557,0,187248,725693,0,0,150970,0,0,0,0,0,191000,155416,0,220820,2740,158914,46383,0,38935,52828,63211,0,0,232335,0,0,0,312057,35045,104599,1285794,0,0,421735,0,176609,0,0,56293,85388,490370,281743,78666,0,0,0,220252,0,38404,0,81580,39060,7132,0,164989,443035,126924,0,205645,69529,262869,2187,1813,138547,123815,6920,0,952142,52952,0,2323,81299,65185,185736,97231,0,0,9834,259292,0,803108,0,203809,208389,53770,0,258683,64731,2646,205617,0,20048,20681,0,0,146681,0,79694,82542,11870,190029,0,136756,200081,0,0,0,82379,155790,22876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53497,346847,231846,1144566,78812,29034,0,105377,427016,22026,200476,37605,0,23657,6027,0,73271,59349,57138,370236,132551,0,201392,0,74383,0,93286,0,0,102291,0,0,102838,128335,43394,0,4065,1063,121790,167757,0,0,446492,118538,0,0,207612,240721,0,4186,127444,1450,12434,355768,0,170074,38058,18891,0,88700,0,0,194748,250179,100449,341695,10248,0,0,18404,69909,43017,26055,115732,228491,0,0,60553,83053,20146,0,157829,3101,0,0,0,0,0,0,0,0,0,0,0,221790,223752,594,160109,390343,0,0,515267,825384,0,229184,0,68229,87812,0,0,117148,0,599104,1109245,198456,0,558998,0,0,471403,0,149911,427299,0,400685,359823,0,0,220641,463393,56718,89302,384450,0,0,31594,0,0,328942,0,66941,0,44768,0,0,340690,0,0,265824,634543,29948,691231,0,166219,0,0,0,0,56980,17520,0,0,388535,0,102276,0,317063,0,290816,135072,0,495904,0,320601,294369,10341,0,23275,0,0,0,0,130241,10725,309761,33379,230438,0,631946,2183,0,0,0,320301,87711,538437,0,"Oscillibacter sp. 57_20"
"Parabacteroides distasonis",1182637,248662,136222,2663976,324537,1441711,1903569,0,827344,220083,140802,21015,49130,43635,161214,170288,103628,873737,214250,61897,712488,235505,751867,287639,186943,247988,3402,31793,89168,28282,3727,144235,242896,416423,153176,192872,60054,526079,3706372,185239,617506,0,214781,375221,1708502,803268,56920,1556063,1036259,6117598,0,227380,615278,82457,398723,130041,58597,359207,20541,0,7965,16253,130616,241299,39279,41078,628435,322150,49671,363867,104974,23842,338915,717678,294132,218901,475980,871593,566430,828676,300082,154303,362826,271667,94760,1194108,472,774201,607962,1961228,343660,1327258,77174,169035,147445,3205709,866492,288257,80841,319963,170302,61718,327272,21257,10755,413012,26366,183142,1315,27764,65171,2020224,471924,37876,674175,40056,816059,1249246,1337,571237,412593,0,121779,1993,1899051,235064,4205481,1336022,118457,268410,184497,58621,242207,152225,669547,247909,30844,1132608,768431,1799136,230542,245564,33153,2725801,278491,1670249,148860,15242,1513365,178098,1993716,971520,1499473,1608625,3944012,18312,488140,120982,171975,2038023,1420434,302688,1956226,187177,4391765,3016765,1202072,573427,415558,1134141,212079,3021930,632804,117921,137623,293356,519136,639020,278935,153142,858531,393518,306163,302439,141743,233520,1478901,793134,393990,145715,92745,265617,124245,718489,350417,115833,375283,798207,72225,268230,578887,1978288,137193,68555,1797688,561806,164319,1997504,201883,151728,3955935,642631,220921,319187,3834,197102,167435,97675,193866,515043,0,113146,530677,1282909,1090360,367392,1978876,655808,319650,289695,762879,1045418,18049,183091,2493134,279883,102907,1420314,22054,325336,275866,487955,871228,508996,354250,38036,359043,376138,294250,1520657,1914390,146758,287504,15792,1024669,763165,667863,1933549,6977,147637,293431,20562,383936,129926,661546,3176703,265555,672813,1022484,7476772,1156938,374792,1200241,196794,2719878,0,291267,465771,920145,786842,708322,680297,447818,3632998,578838,166628,533329,671812,201016,200385,873976,520017,340644,1158069,542790,177619,137583,182636,481862,341876,1759203,398321,1101193,2125572,6017819,3200327,654583,173866,214486,1874667,188771,105999,3461156,2240523,884068,497743,2956786,814181,308770,386965,765430,662189,11247389,1068532,177979,4785762,100923,783004,600072,2470923,134486,4801229,1184250,380695,864473,659173,411681,928457,6851642,1392466,1032352,456,6097,1097721,3865347,1933225,277032,0,1061715,151525,533122,344358,855008,183748,1561830,0,1530,2974031,231752,2417119,49154,180758,848020,"Parabacteroides distasonis"
"Odoribacter splanchnicus",1077097,321452,244182,0,783399,0,459373,0,14473,95190,0,0,0,44224,8963,0,110206,24302,0,10117,0,158904,0,66856,143583,129503,0,33246,0,36790,0,409008,235630,495638,59112,175988,56111,19828,0,29413,756856,295835,157360,170806,192815,0,95725,160250,0,0,0,111108,275288,255496,161316,198519,0,120547,28852,0,31725,21855,35540,0,0,51946,0,223912,0,145635,98877,0,269364,0,0,211609,0,146933,0,225081,143618,191909,235680,32797,101177,127055,0,0,700747,0,36621,437014,16692,163705,148078,0,236,351224,66553,322052,215374,0,175520,0,67,4018,60682,36547,0,169812,59734,0,0,239433,0,133374,187244,0,0,0,517058,0,214892,0,281738,244681,721355,39435,203042,46363,184970,113824,0,157307,27262,0,9222,240406,0,257173,113178,77156,99476,0,159524,238223,114930,0,0,242349,361584,450833,47915,0,0,3105,431618,11126,29413,0,0,0,700209,0,0,90394,148986,343859,314672,382094,51632,0,0,0,110260,152336,915706,172094,166861,260930,205287,22537,127610,8163,69186,150871,721154,59148,238446,38845,158026,97487,118417,0,0,134916,2521,581308,62498,534354,183322,0,150607,0,0,357859,27172,0,265115,49686,875140,147338,131581,120846,0,7640,57978,58892,66388,693903,0,188006,234701,0,0,236075,164026,436220,114093,208601,372804,146900,0,0,0,0,145982,0,7474,278208,344425,366284,0,157174,182641,18984,16303,246984,157326,8968,0,0,0,0,8462,45788,243007,0,0,171483,0,339866,26806,513575,0,147560,203044,410296,236761,0,334178,0,97341,142120,0,0,0,0,1040799,184362,282768,0,166105,0,719,142338,21151,273399,106906,52401,432984,0,276763,0,96304,0,67756,169316,575037,0,421265,439017,213658,0,237213,49205,233851,0,30988,156223,0,632030,0,0,532143,0,2860,0,0,684751,0,0,61478,0,168461,537777,0,107451,120268,0,0,194808,183749,238854,0,147092,0,342773,0,337459,82120,0,2574,0,407274,0,182827,0,323612,234194,70505,115843,192860,1128487,1938976,447,0,29432,0,200040,60840,803302,334511,"Odoribacter splanchnicus"
"Bifidobacterium adolescentis",1011882,0,16446,0,0,0,0,248451,0,29936,376023,0,0,0,0,0,0,0,0,0,0,0,0,552148,0,0,0,0,0,0,2431,0,1279,0,0,0,37079,0,0,1529316,0,0,8016,1116561,0,0,0,0,0,0,0,0,20937,0,0,5410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156804,0,0,58248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10110,0,0,176047,0,47115,455330,0,0,0,0,0,0,0,0,397321,0,27809,0,0,0,0,0,1605,0,0,0,0,0,0,0,0,110277,6665,0,0,31205,0,0,0,0,3742,0,0,0,0,0,0,0,1272113,0,0,48678,0,0,0,0,0,0,0,0,0,0,3445,2212657,819403,0,0,0,0,0,4132406,0,0,0,178159,0,5269,0,0,0,558965,0,0,0,0,0,0,59960,0,0,0,0,4377,0,0,0,0,0,0,0,0,3763,0,0,0,66503,0,0,0,0,0,0,0,0,0,0,1176,87531,0,0,19380,0,0,0,0,1225,9468,0,19386,0,0,0,0,0,0,0,4881,0,0,4399,0,0,1811,0,0,0,0,0,0,226613,0,0,159775,0,0,18023,0,0,0,6037,0,0,0,0,0,2608,0,0,0,0,198816,0,0,3137,0,0,0,232409,0,0,0,0,0,0,0,43224,0,0,0,0,0,5583441,0,0,0,1233801,0,1216410,0,373,427864,16036897,0,3525,0,2158825,0,0,0,0,0,0,0,0,19889356,0,1047,0,0,670,4558717,4312,0,0,231,0,0,0,2804,0,0,0,0,0,0,4752,0,328,0,452902,0,367838,47570,0,0,0,0,0,8457,0,2531655,0,2045,0,3551,0,0,2167,0,0,1246349,0,0,0,0,0,0,0,0,0,"Bifidobacterium adolescentis"
"Bacteroides fragilis",997800,0,0,0,2334406,1752328,4375320,7037631,207519,0,0,987,236,0,0,14627,2966,0,0,5032,0,0,60751,21279,25333,0,0,16533,0,0,2122,23791,0,18261,0,15864,0,134,0,0,1733,0,855147,0,48774,0,60768,0,6225501,3015,3559159,649600,186264,20333,771096,0,2273,0,9030,0,0,22355,0,4648,63849,0,1072395,51263,10296,0,0,0,12629,2244,495885,36935,24285,21693,1139476,1049002,0,341741,4829,0,106376,37034,0,118219,6958,134509,210853,8265,134841,414722,0,424740,0,0,9732,400343,0,370928,0,308542,35319,0,0,0,15396388,0,0,407255,1209506,3352,15329,0,130199,5642890,1417935,1848679,2185,5975,137874,2190,1422585,171846,68692,3673,0,37897,18126,0,247575,520249,11550,296088,20565,0,90945,1956,5726,0,0,2238172,1148949,0,54871,1107,114600,0,0,369282,1723740,232053,101600,0,3177,653038,0,202,27002,9651,161498,0,362808,2728303,0,55946,74075,0,638,3588550,26052,7658,321687,0,16404,985289,0,70130,109430,132760,590206,1801626,7726,2773,8828,0,1081636,638195,0,0,389956,1391844,0,0,68611,1477273,0,217739,117084,402330,5736,449,587653,5593,0,3512360,0,4756,3536010,91040,1182,0,22560,3897585,60820,0,0,1951,7078961,0,8182,774269,957111,3559,45481,67014,11303,27858,27846,707882,62486,27584,2943977,6010,1882,863808,0,725099,1423,1685,192858,1546,0,0,219051,0,0,14606,3294544,51568,0,87710,330418,6603881,0,296405,521986,505203,489,54211,667602,25520,1300245,3952,187945,0,32968,9608178,650316,5241121,1156,1213348,2786664,3822500,845589,3346046,0,0,15254,166860,3550,163232,833185,37234,5040,58167,0,0,1037397,0,489847,1324460,87637,0,0,144871,0,33006,2597804,0,1269114,12231854,0,0,0,14119,2644,0,4751,2371,49849,517634,1078883,475580,0,1171893,4011106,0,625311,491404,3049177,12984,0,963278,199107,1528283,324227,644419,0,0,3718,4491243,1362,5541,641395,0,228058,0,164512,12925,0,4787646,23843,139012,983286,0,9926,0,351586,0,289940,4402298,5084,0,0,1755,447542,118587,16732,344653,11319,"Bacteroides fragilis"
"Parabacteroides merdae",934315,364385,437415,0,223983,0,1580444,0,17790,176253,0,0,38602,99333,63154,133713,492548,368540,0,42383,392,0,170,66488,229714,0,14495,93543,31989,0,5590,299101,326535,529526,7139,340458,21750,234759,305968,984600,0,979933,831640,561902,0,0,124250,423881,0,0,0,23635,182778,318819,360691,229463,296388,110186,71170,0,31141,26384,204325,8392,15218,204470,219729,676855,0,0,73982,17676,671206,0,903694,482686,0,165318,240042,0,0,0,597862,355144,269307,2264579,0,0,114472,0,200226,1658197,0,520537,423097,7897,0,0,285529,0,251851,0,186672,11243,0,0,88652,147411,0,77741,73309,451445,0,240832,115150,93748,1548912,0,0,148980,850545,0,0,0,235847,1125706,471294,847,1247784,66528,0,0,0,0,2312,0,236886,876,0,49717,317026,156252,12761,601141,299668,52144,639174,0,47072,174928,70641,730716,1791187,5365,3266,28975,0,154812,0,529100,2807,0,869929,0,0,0,304376,215069,760101,1067915,0,0,0,234901,2192,253982,0,10347,346227,0,154591,0,0,165002,104641,13394,166006,1296700,810122,130374,323091,141751,490986,0,0,291167,62613,0,78540,0,3022,1523362,317365,108297,160023,175153,67627,0,456030,135139,2438327,333488,16225,363634,0,76357,0,3843,0,339980,0,255008,0,0,910446,251312,265058,482433,0,0,0,357274,62554,645491,0,96682,102325,438203,4088,938,186204,22862,48464,0,0,48179,0,599683,201838,202974,488222,0,101899,0,545,0,445985,912695,0,0,234501,107696,261706,379821,0,0,0,375135,933023,0,277681,6790436,64246,749803,0,0,0,0,504478,87172,3682,6571903,75413,48429,0,447449,0,203225,475921,179822,1383273,609734,825100,0,0,418285,86522,365874,0,37741,185,0,173276,0,1990,696766,478,19042,36249,215154,0,1086860,268636,0,1188936,0,140190,1443143,0,293480,524250,882,0,1299188,45438,331635,80010,171059,28849,0,475531,2356182,678717,707160,797022,1752765,38290,1068548,0,1043909,918944,2173,865840,0,673547,0,0,0,521495,0,1203559,0,488,2030724,3446218,0,1561,1776469,1575598,620,92354,234,175846,"Parabacteroides merdae"
"Prevotella stercorea",916106,0,80157,0,2993544,0,302,10868,8604225,898,2361843,0,0,3927899,0,0,0,15391936,0,0,0,2145,401,0,1445264,0,1248306,4467,0,3555963,13553411,0,0,750,973900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,833,0,0,0,0,1413217,0,3689736,0,158,0,0,0,0,0,1410,1937,2758,0,316618,0,0,21301508,0,2901,0,0,0,0,0,0,0,0,0,0,0,0,6801595,0,6734326,0,0,6399,0,2535,0,0,12225942,0,5454716,5285,0,146413,4294,79,0,3513701,7408187,0,1576,122126,0,0,28829,2308,9503,0,576489,0,0,0,0,2153703,1673,2219,2852,3510941,0,0,924,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,1596,1992,0,0,0,0,0,1388,0,0,0,934,0,0,0,0,1231,10823,21238,0,0,2332173,0,942,0,0,0,14517124,0,0,0,0,0,0,9491513,5098140,0,0,30581,0,0,0,0,0,0,0,22191475,0,0,0,138,0,0,3197674,0,0,38802,0,0,0,0,0,2812049,0,0,0,5210001,525663,0,0,0,0,0,631,0,0,0,840,0,0,0,0,0,0,0,4339,15838375,0,0,0,501,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6573,12141,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2911,2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490139,0,0,180605,0,0,4474,0,0,0,4727592,0,0,0,0,0,0,0,0,0,0,0,"Prevotella stercorea"
"[Eubacterium] siraeum",913983,0,1661,0,582116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5362,0,0,0,76538,714161,0,0,0,0,0,134090,46244,0,0,3640644,0,0,0,15644,0,0,0,0,0,0,0,0,0,0,0,160977,89998,2908883,0,976685,0,0,116888,0,0,0,194893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37632,0,0,0,0,0,0,0,0,0,0,0,0,18158,0,835247,0,0,36441,0,303621,0,0,0,5356,68965,0,21231,0,0,0,10128,211495,1648008,0,0,0,2937,0,0,0,0,507,104272,0,0,0,4496153,0,926214,0,0,0,0,0,200119,0,0,0,0,0,0,83555,919909,0,0,0,381760,520422,0,0,0,0,0,0,0,0,0,0,0,362486,0,0,0,0,1040,0,12463,0,0,0,0,1161696,0,0,36937,0,0,0,0,0,0,0,526330,1701954,0,54430,0,964394,973061,0,0,0,0,0,0,129485,0,0,0,0,0,0,0,0,0,0,1334,0,0,0,0,0,0,0,0,0,151323,0,1027238,0,0,0,9258,0,0,0,0,0,659127,7515,0,0,0,0,0,0,0,24275,74740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21209,0,0,143831,0,0,0,788733,0,0,18052,0,0,0,0,0,3782205,0,0,4934896,0,0,0,0,0,0,0,0,863684,53906,0,0,2509,0,0,2333,0,0,0,0,0,0,0,9117895,0,0,0,0,0,0,732,0,0,0,1785891,0,2384404,0,0,784,0,9733,1285024,0,0,672832,0,13725842,0,2595,0,0,0,0,230240,0,0,791957,0,0,0,0,2541,0,0,0,0,0,9577,137,0,0,0,0,0,0,0,0,0,0,"[Eubacterium] siraeum"
"Prevotella copri",883423,1940,16171035,2523,5569506,1244,1373,4034,18992551,13412,0,0,17449011,32135993,3182,14497,7808,5755,1394,26707017,6556,11009,8652,34100243,16390118,8397,29829514,26295887,12350,25867832,4300,0,0,25403,12561087,6721,36669877,3346,14034,3118,6792,2248,513007,13666218,1198,25817387,1884,7252,3239,10801,0,6576568,12315,7250,0,0,964,0,3084,4198,32521683,36590820,17668849,0,22730,16580624,2970,23748705,326896,18405376,36986387,0,2668,2341,745,4637,9149,3216,39428212,1337,4286,20285388,1770,9965644,20620,4317,28401689,4849,1990,3817,0,7030,22179971,5475,4741,14338,0,8716,0,10996,2455,0,6149,20792,0,5335,20078275,37771,0,9234743,14110588,2811,2010,11171445,14524902,0,689042,4023,2678,77962,3728585,1987,0,2233,224544,4729171,119760,14216,3408394,70164,0,2734,1575,4022,3057,0,5729,0,0,0,10937202,0,309702,0,16034,19509,2893,7578,12606546,0,260615,12873,0,0,4787,11198,4820,5524,1874462,0,618,2001,4205958,13171384,2645,1641,0,2146727,0,0,0,12134,0,8262,0,1242,0,0,15320402,5723,0,3501,1954,0,3757,0,2992,67501,3986,834,0,204,1418,0,15141,866841,3916,0,12077249,0,822664,0,3833974,19037065,2647,8981212,18672117,0,0,0,0,19998061,13314437,0,6766,2717,0,18986,0,2366931,1355,347,20415,1745,608,0,33674,11117199,840,20846,2943,0,20578773,23329,5502,17448,3430,0,6057250,0,8681254,4616101,0,0,4012,24726926,0,4631686,20504803,1984108,0,0,0,0,0,4098,15471894,6356,1132,0,0,63642851,7602684,0,0,3365,341,5564,8891,8565,242963,4668,36006086,563,454,1686,15525860,918,7388,2794766,4542,0,0,0,0,0,0,0,9136126,17522139,0,4034314,2096,6633,6661,23728475,2043,33049,982,0,26024110,4296,5468,7894,0,7504557,4498,2950,6459,20494468,0,0,0,0,312479,802,24705226,0,3855,22233,4321,1153069,6451,8782,54449899,9407,8390,0,1597556,0,0,0,101393,0,5544,8398,5898245,5439736,0,953144,350496,32881993,0,2913,4498,151,22672,7521,4600,8277,116941,16090121,22256978,1778618,38798,0,0,4663,32115,12680700,31656679,5165,0,"Prevotella copri"
"Ruminococcus bicirculans",845289,0,81116,0,38621,1225538,0,36463,0,449,30744,1901,0,0,0,0,18366,0,0,1775,512607,125492,0,3364,52219,571093,344,7492,0,97442,128959,15376,16909,73493,0,0,26362,6395,0,54376,0,169052,88879,0,0,0,0,0,0,0,49987,25079,219700,0,0,6417,0,67205,2293741,0,0,0,0,0,0,394619,0,36301,0,4623,0,467640,126816,0,1991150,143695,0,645678,0,0,11298,160384,81066,445159,4555,0,0,0,247886,0,0,0,0,250497,0,318584,0,9681,593655,1744223,599430,0,860028,0,4861,1392,0,8834,0,0,0,0,0,24160,113217,2397561,0,0,0,22967,1004499,0,13068,0,134169,19545,0,0,3224,0,0,0,233,15859,77118,0,129132,0,0,0,51030,5735,131421,0,0,0,202773,0,0,0,2469,0,102211,0,0,3841,226663,0,0,0,8446,864811,0,0,0,0,0,0,651738,2796,72476,1906,0,352111,48605,151191,0,0,0,1207429,0,132845,39662,0,849290,896,544727,0,392,0,12341,581817,14940,0,0,395681,0,0,5297,22138,0,0,0,0,1402697,0,0,0,1064354,268950,0,0,258000,0,0,0,55335,0,32971,33883,381773,544857,0,0,83230,313011,0,0,54413,117828,84087,0,0,0,0,1701,141821,10052,0,3356,0,0,0,0,531559,0,46200,0,0,0,0,12979,13447,0,0,0,1200743,0,0,0,324448,0,0,329869,651775,6398,0,3410,0,0,1191879,0,0,30605,0,0,18690,137308,1775489,22987,381928,756,607694,0,7211,671984,0,0,0,0,33965,60690,158489,0,0,0,1654116,4508166,1129683,0,0,0,0,112187,0,0,15442,2825,616121,0,12730,0,42249,1666,73468,0,0,644280,0,5902,589163,53659,0,2979,37146,0,0,6350,0,0,0,0,4009921,5080,175557,452531,0,39652,0,0,592132,0,0,12943,0,199401,0,0,1855497,2391521,1484775,7176,0,0,0,0,0,0,76797,0,19895,1549946,0,"Ruminococcus bicirculans"
"Bacteroides caccae",759578,1174743,497328,340575,175712,0,640283,0,702159,153044,0,0,0,126866,56733,204682,0,298205,686328,36413,414016,0,0,77958,11296,169980,4344,11528,16070,0,6995,194651,54012,87396,239919,15208,14383,51609,1084237,182233,496536,0,379890,601381,0,0,360628,2769375,0,0,0,509418,113481,179701,533829,678817,0,0,52593,0,0,523,145898,0,1595662,17921,1990446,0,1064277,0,258036,0,283663,0,307094,130412,0,98222,272,0,208652,187152,96310,48141,6541,810137,0,0,1351704,922161,673690,0,0,2466890,1303990,0,0,1110105,134403,665409,131423,0,58001,3297,55308,1159204,0,402435,0,0,0,0,56113,214850,771516,1075114,127952,983,1823691,0,112733,0,2672849,0,1662586,448402,481905,1587373,2369190,3225,2918015,190310,0,865791,275404,0,51623,992505,672,223804,206735,38785,0,1659824,1235294,4839584,0,2739,0,0,74130,737825,1608378,2201,0,5794,802359,343997,411141,0,686,0,868448,0,15431,0,723914,2195428,0,1368183,0,804562,0,251086,0,163833,288,194637,259448,0,68451,0,327725,840,88024,52461,0,944083,555344,595211,232522,167202,102134,0,1011592,47198,1342,0,279281,0,1111533,0,470408,270,584391,74287,0,1781586,270275,189314,0,876758,387271,45788,2004,411305,34120,280811,222666,1483969,0,0,924817,0,785634,506872,1525,912269,0,463120,0,535661,49294,0,0,228475,78084,5967,49250,851067,268575,113056,395611,653837,544032,23025,12028,115343,707067,895433,0,0,432808,80274,0,1482,527780,730230,0,1143698,0,531020,137079,860692,236,296300,0,0,812749,0,1067824,0,1058289,86485,0,0,956025,1147399,1032434,29336,1836344,385,82060,95946,526,92046,131452,1334856,105159,146313,6223219,3442030,421597,0,64432,0,109400,632718,408397,995,69725,1399536,2052668,113,2778267,1588861,712975,8606,2513,0,1215789,507,1922,515575,167204,328927,196846,1429290,813,533105,471666,605903,0,680384,209455,150147,0,1266055,283710,5133182,1638662,11574493,140847,803897,0,3603104,120498,46345,0,4351906,1144893,258435,145577,257,3479399,0,3065789,676043,750743,507529,240293,2196,0,0,2223896,0,1013,67796,0,421499,51115,0,22132,"Bacteroides caccae"
